seed,test_size,n_common,n_test,gf_head,scgpt_head,gf_accuracy,gf_macro_f1,gf_macro_f1_no_platelet,scgpt_accuracy,scgpt_macro_f1,scgpt_macro_f1_no_platelet,gf_f1__B,gf_f1__DC,gf_f1__Mono,gf_f1__NK,gf_f1__Platelet,gf_f1__T,scgpt_f1__B,scgpt_f1__DC,scgpt_f1__Mono,scgpt_f1__NK,scgpt_f1__Platelet,scgpt_f1__T
-1,0.2,2700,540,xgb,sgd,0.5025308641975308,0.2542637078565039,0.30511644942780464,0.9062962962962964,0.8857591637535497,0.8899744885677517,0.15538385017359754,0.22033721833587833,0.38306879531265275,0.11808050587514923,0.0,0.6487118774417456,0.9530619181872807,0.8005433979775599,0.9072769780740112,0.8612465888231445,0.8646825396825398,0.9277435597767622
-2,0.2,2700,540,xgb,sgd,0.012143242371962572,0.021512225321389706,0.02581467038566765,0.01184865857364439,0.02660586537129749,0.015494584331898414,0.052537007571969,0.07488720269995346,0.04329298704551561,0.04361579491278779,0.0,0.007248626525806773,0.015372190239545514,0.05271177369962085,0.0261471035811102,0.031684687680552395,0.12050354922995717,0.012191976593178404
0,0.2,2700,540,xgb,sgd,0.5092592592592593,0.26771465024485114,0.3212575802938214,0.9092592592592592,0.9089289417843668,0.8907147301412401,0.14814814814814814,0.2413793103448276,0.43661971830985913,0.12612612612612611,0.0,0.654014598540146,0.9565217391304348,0.7857142857142857,0.9032258064516129,0.8770053475935828,1.0,0.9311064718162839
1,0.2,2700,540,xgb,sgd,0.5203703703703704,0.28466495253465846,0.34159794304159014,0.9037037037037037,0.9070869143643594,0.8885042972372315,0.1,0.37037037037037035,0.4492753623188406,0.13592233009708737,0.0,0.6524216524216524,0.9264705882352942,0.8205128205128205,0.9278350515463918,0.847457627118644,1.0,0.9202453987730062
2,0.2,2700,540,xgb,sgd,0.5018518518518519,0.25702801952359006,0.30843362342830805,0.9074074074074074,0.884416066870263,0.8898707088157443,0.1686746987951807,0.23529411764705882,0.4,0.09615384615384616,0.0,0.6420454545454546,0.9370629370629371,0.7901234567901234,0.9090909090909091,0.8854166666666666,0.8571428571428571,0.9276595744680851
3,0.2,2700,540,xgb,sgd,0.49444444444444446,0.23774775430223313,0.28529730516267976,0.912962962962963,0.9188674578950081,0.9026409494740099,0.14457831325301204,0.125,0.4057971014492754,0.1111111111111111,0.0,0.64,0.9496402877697842,0.8470588235294118,0.9239130434782609,0.8666666666666667,1.0,0.9259259259259259
4,0.2,2700,540,xgb,sgd,0.5018518518518519,0.24334248979931442,0.29201098775917733,0.9222222222222223,0.9277794213645404,0.9133353056374485,0.21686746987951808,0.11320754716981132,0.33070866141732286,0.14678899082568808,0.0,0.6524822695035462,0.9714285714285714,0.8536585365853658,0.9468085106382979,0.8633879781420765,1.0,0.9313929313929314
5,0.2,2700,540,xgb,sgd,0.48518518518518516,0.22464707250388258,0.2695764870046591,0.9259259259259259,0.924640184980921,0.9095682219771053,0.14634146341463414,0.12244897959183673,0.34532374100719426,0.09009009009009009,0.0,0.6436781609195402,0.9787234042553191,0.8192771084337349,0.9148936170212766,0.8888888888888888,1.0,0.946058091286307
6,0.2,2700,540,xgb,sgd,0.5277777777777778,0.30235564824519895,0.36282677789423873,0.8851851851851852,0.8555937830669668,0.8667125396803602,0.19753086419753085,0.37735849056603776,0.4148148148148148,0.16822429906542055,0.0,0.6562054208273894,0.9436619718309859,0.7654320987654321,0.91005291005291,0.8068181818181818,0.8,0.9075975359342916
7,0.2,2700,540,xgb,sgd,0.49074074074074076,0.23105114449219033,0.2772613733906284,0.9222222222222223,0.892398987071768,0.8994502130575504,0.12195121951219512,0.16326530612244897,0.366412213740458,0.09433962264150944,0.0,0.6403385049365303,0.9655172413793104,0.775,0.9148936170212766,0.8924731182795699,0.8571428571428571,0.9493670886075949
8,0.2,2700,540,xgb,sgd,0.5,0.2624838404144029,0.3149806084972835,0.912962962962963,0.8789087702739483,0.8946905243287381,0.14634146341463414,0.2222222222222222,0.4027777777777778,0.16216216216216217,0.0,0.641399416909621,0.9333333333333333,0.8045977011494253,0.9081081081081082,0.8888888888888888,0.8,0.9385245901639344
9,0.2,2700,540,xgb,sgd,0.4888888888888889,0.23589736953918408,0.2830768434470209,0.9203703703703704,0.9083343440064607,0.8900012128077528,0.14285714285714285,0.14814814814814814,0.34965034965034963,0.12844036697247707,0.0,0.6462882096069869,0.9640287769784173,0.7294117647058823,0.8756756756756757,0.9247311827956989,1.0,0.9561586638830898
10,0.2,2700,540,xgb,sgd,0.5,0.2384490627057224,0.2861388752468669,0.9148148148148149,0.8863456816186847,0.9036148179424217,0.125,0.16,0.42424242424242425,0.07547169811320754,0.0,0.6459802538787024,0.9571428571428572,0.8372093023255814,0.9239130434782609,0.8681318681318682,0.8,0.9316770186335404
11,0.2,2700,540,xgb,sgd,0.512962962962963,0.28559898348697144,0.34271878018436575,0.8740740740740741,0.8184994716810553,0.8488660326839332,0.26373626373626374,0.3050847457627119,0.3582089552238806,0.12962962962962962,0.0,0.656934306569343,0.9411764705882353,0.7142857142857143,0.8165680473372781,0.8539325842696629,0.6666666666666666,0.9183673469387755
12,0.2,2700,540,xgb,sgd,0.49074074074074076,0.21778785771467804,0.26134542925761367,0.9092592592592592,0.8609255484073032,0.8731106580887639,0.10256410256410256,0.0784313725490196,0.2900763358778626,0.18867924528301888,0.0,0.6469760900140648,0.9420289855072463,0.675,0.8842105263157894,0.9180327868852459,0.8,0.9462809917355371
13,0.2,2700,540,xgb,sgd,0.4962962962962963,0.25331147207078447,0.30397376648494134,0.8981481481481481,0.8702959309209309,0.8729265456765457,0.1518987341772152,0.2641509433962264,0.3333333333333333,0.12844036697247707,0.0,0.6420454545454546,0.965034965034965,0.7466666666666667,0.90625,0.8214285714285714,0.8571428571428571,0.9252525252525252
14,0.2,2700,540,xgb,sgd,0.48703703703703705,0.23858101341695628,0.28629721610034753,0.9074074074074074,0.8764760764082814,0.9017712916899375,0.075,0.2857142857142857,0.27906976744186046,0.1523809523809524,0.0,0.6393210749646393,0.948905109489051,0.85,0.9368421052631579,0.8571428571428571,0.75,0.9159663865546218
15,0.2,2700,540,xgb,sgd,0.5055555555555555,0.26389068521342507,0.3166688222561101,0.9,0.8777509249816925,0.8818725385494597,0.16666666666666666,0.2962962962962963,0.35294117647058826,0.11320754716981132,0.0,0.6542324246771879,0.9333333333333333,0.7906976744186046,0.8839779005524862,0.8764044943820225,0.8571428571428571,0.9249492900608519
16,0.2,2700,540,xgb,sgd,0.48703703703703705,0.22696403298049247,0.27235683957659096,0.9092592592592592,0.8780877869825711,0.8937053443790853,0.07058823529411765,0.18181818181818182,0.3880597014925373,0.07476635514018691,0.0,0.646551724137931,0.965034965034965,0.8,0.9139784946236559,0.8586956521739131,0.8,0.9308176100628931
17,0.2,2700,540,xgb,sgd,0.5092592592592593,0.2706008609474834,0.32472103313698014,0.9185185185185185,0.9182493185530306,0.9018991822636367,0.10126582278481013,0.32727272727272727,0.43356643356643354,0.11214953271028037,0.0,0.6493506493506493,0.9645390070921985,0.813953488372093,0.9197860962566845,0.8715083798882681,1.0,0.9397089397089398
18,0.2,2700,540,xgb,sgd,0.49444444444444446,0.24643077230392565,0.2957169267647108,0.8944444444444445,0.9046666103563812,0.8855999324276574,0.18823529411764706,0.22641509433962265,0.36363636363636365,0.05825242718446602,0.0,0.6420454545454546,0.9361702127659575,0.8602150537634409,0.9222222222222223,0.7976878612716763,1.0,0.9117043121149897
19,0.2,2700,540,xgb,sgd,0.5222222222222223,0.2796112748121912,0.33553352977462947,0.8814814814814815,0.8771075170549182,0.8525290204659018,0.18604651162790697,0.2222222222222222,0.42424242424242425,0.18518518518518517,0.0,0.6599713055954088,0.920863309352518,0.6933333333333334,0.8958333333333334,0.8465608465608465,1.0,0.906054279749478
20,0.2,2700,540,xgb,sgd,0.5092592592592593,0.2580028926094274,0.3096034711313128,0.9074074074074074,0.8810171981228194,0.8972206377473834,0.14634146341463414,0.18867924528301888,0.44755244755244755,0.11320754716981132,0.0,0.6522366522366523,0.965034965034965,0.8387096774193549,0.8863636363636364,0.8677248677248677,0.8,0.9282700421940928
21,0.2,2700,540,xgb,sgd,0.49074074074074076,0.22543868756764432,0.2705264250811732,0.912962962962963,0.920433394119283,0.9045200729431396,0.05405405405405406,0.21818181818181817,0.37681159420289856,0.057692307692307696,0.0,0.6458923512747875,0.9726027397260274,0.8636363636363636,0.9162011173184358,0.8439306358381503,1.0,0.9262295081967213
22,0.2,2700,540,xgb,sgd,0.4962962962962963,0.25404375634374,0.304852507612488,0.9037037037037037,0.8849847307466142,0.9019816768959371,0.15,0.27450980392156865,0.36496350364963503,0.09009009009009009,0.0,0.6446991404011462,0.9583333333333334,0.8863636363636364,0.9398907103825137,0.8131868131868132,0.8,0.9121338912133892
23,0.2,2700,540,xgb,sgd,0.49444444444444446,0.23371756130033658,0.2804610735604039,0.9074074074074074,0.886721603130196,0.8926373523276638,0.19047619047619047,0.14545454545454545,0.37410071942446044,0.0380952380952381,0.0,0.654178674351585,0.9496402877697842,0.8222222222222222,0.8764044943820225,0.88268156424581,0.8571428571428571,0.9322381930184805
24,0.2,2700,540,xgb,sgd,0.5037037037037037,0.2609339135546865,0.3131206962656238,0.9074074074074074,0.862644024296706,0.9018394958227137,0.1728395061728395,0.16,0.375,0.21428571428571427,0.0,0.6434782608695652,0.9726027397260274,0.8433734939759037,0.946236559139785,0.8297872340425532,0.6666666666666666,0.9171974522292994
25,0.2,2700,540,xgb,sgd,0.5148148148148148,0.2647568759358427,0.31770825112301126,0.9018518518518519,0.8662104059498374,0.879452487139805,0.18823529411764706,0.2222222222222222,0.40298507462686567,0.11320754716981132,0.0,0.66189111747851,0.9496402877697842,0.7532467532467533,0.9090909090909091,0.8603351955307262,0.8,0.9249492900608519
26,0.2,2700,540,xgb,sgd,0.5,0.24736109077245858,0.29683330892695026,0.9018518518518519,0.8765490775314211,0.8918588930377054,0.11764705882352941,0.24,0.4370860927152318,0.0392156862745098,0.0,0.6502177068214804,0.9645390070921985,0.8444444444444444,0.9120879120879121,0.8160919540229885,0.8,0.9221311475409836
27,0.2,2700,540,xgb,sgd,0.5314814814814814,0.294392253053177,0.3532707036638124,0.912962962962963,0.9108729184803107,0.8930475021763729,0.27906976744186046,0.2641509433962264,0.4195804195804196,0.13592233009708737,0.0,0.6676300578034682,0.9370629370629371,0.7954545454545454,0.8839779005524862,0.91005291005291,1.0,0.9386892177589852
28,0.2,2700,540,xgb,sgd,0.5055555555555555,0.25894076271780214,0.31072891526136254,0.8944444444444445,0.8248645762667342,0.8755517772343667,0.1686746987951807,0.2641509433962264,0.373134328358209,0.09803921568627451,0.0,0.649645390070922,0.950354609929078,0.759493670886076,0.8852459016393442,0.8636363636363636,0.5714285714285714,0.9190283400809717
29,0.2,2700,540,xgb,sgd,0.5037037037037037,0.26216448458786495,0.3145973815054379,0.9092592592592592,0.8831172453191165,0.8997406943829398,0.22988505747126436,0.16666666666666666,0.37209302325581395,0.1651376146788991,0.0,0.6392045454545454,0.9714285714285714,0.8372093023255814,0.9247311827956989,0.8387096774193549,0.8,0.9266247379454927
